1;Institusional Fee;1;NULL;50000;1;1;0;0;1;1;NULL
2;Management Fee;1;NULL;75000;1;1;0;0;1;1;NULL
3;Alat Tulis Kantor;1;NULL;5000;1;1;0;0;1;1;NULL
4;Untuk Keselamatan Kerja (Handrub, tisue, sabun);1;NULL;5000;1;1;0;0;2;1;NULL
5;Orientasi Keselamatan Pasien;1;NULL;10000;1;1;0;0;3;1;NULL
6;Log Book (dibayar 1 kali);1;NULL;20000;1;1;0;0;3;1;NULL
7;Name Tag (dibayar 1 kali);1;NULL;5000;1;1;0;0;3;1;NULL
8;Clinical science session (CSS);2;NULL;37500;1;1;0;0;4;1;NULL
9;Case report session (CRS);2;NULL;37500;1;1;0;0;4;1;NULL
10;Case base Discusion (CBD);2;NULL;37500;1;1;0;0;4;1;NULL
11;Pengayaan - Observasi;2;NULL;37500;1;1;0;0;4;1;NULL
12;RPS (Resource Person Session);2;NULL;37500;1;1;0;0;4;1;NULL
13;Bed side teaching (BST)- Visite Besar-Role Model - Pembimbingan Kedokteran Umum di IGD;2;NULL;37500;1;1;0;0;4;1;NULL
14;Mini Clinical Examination  Evaluation (Mini CeX);2;NULL;150000;1;1;0;0;6;1;NULL
15;Ujian;2;NULL;150000;1;1;0;0;6;1;NULL
16;Makan Pembimbing Ujian;2;NULL;20000;1;1;0;0;6;1;NULL
17;Standar Pasien;2;NULL;100000;1;1;0;0;6;1;NULL
18;Institusional Fee;1;NULL;50000;2;2;0;0;1;1;NULL
19;Management Fee;1;NULL;75000;2;2;0;0;1;1;NULL
20;Untuk Keselamatan Kerja (Handrub, tisue, sabun);1;NULL;20000;2;2;0;0;2;1;NULL
21;Orientasi ;3;NULL;75000;2;2;0;0;3;1;NULL
22;Keselamatan Pasien;3;NULL;150000;2;2;0;0;3;1;NULL
23;Log Book (dibayar 1 kali);1;NULL;20000;2;2;0;0;3;1;NULL
24;Name Tag (dibayar 1 kali);1;NULL;10000;2;2;0;0;3;1;NULL
25;RPS (Resource Person Session);3;NULL;150000;2;2;0;0;4;1;NULL
26;Materi (TAK, Komunikasi Terapeutik, Dokumentasi KeKeperawatanan) ;3;NULL;150000;2;2;0;0;4;1;NULL
27;Ujian;4;NULL;150000;2;2;0;0;6;1;NULL
28;Makan dan Snack Penguji;5;NULL;20000;2;2;0;0;6;1;NULL
29;Bahan Habis Pakai Ujian;2;NULL;100000;2;2;0;0;6;1;NULL
30;Institusional Fee Ujian;6;NULL;150000;2;2;0;0;6;1;NULL
31;Management Fee Ujian;6;NULL;20000;2;2;0;0;6;1;NULL
32;Institusional Fee;1;NULL;50000;3;3;0;0;1;1;NULL
33;Management Fee;1;NULL;75000;3;3;0;0;1;1;NULL
34;Untuk Keselamatan Kerja (Handrub, tisue, sabun);1;NULL;20000;3;3;0;0;2;1;NULL
35;Orientasi ;3;NULL;75000;3;3;0;0;3;1;NULL
36;Keselamatan Pasien;3;NULL;150000;3;3;0;0;3;1;NULL
37;Log Book (dibayar 1 kali);1;NULL;20000;3;3;0;0;3;1;NULL
38;Name Tag (dibayar 1 kali);1;NULL;10000;3;3;0;0;3;1;NULL
39;RPS (Resource Person Session);3;NULL;150000;3;3;0;0;4;1;NULL
40;Materi (TAK, Komunikasi Terapeutik, Dokumentasi KeKeperawatanan) ;3;NULL;150000;3;3;0;0;4;1;NULL
41;Ujian;4;NULL;150000;3;3;0;0;6;1;NULL
42;Makan dan Snack Penguji;5;NULL;20000;3;3;0;0;6;1;NULL
43;Bahan Habis Pakai Ujian;2;NULL;100000;3;3;0;0;6;1;NULL
44;Institusional Fee Ujian;6;NULL;150000;3;3;0;0;6;1;NULL
45;Management Fee Ujian;6;NULL;20000;3;3;0;0;6;1;NULL
46;Institusional Fee;1;NULL;50000;4;0;0;0;1;1;NULL
47;Management Fee;1;NULL;75000;4;0;0;0;1;1;NULL
48;Untuk Keselamatan Kerja (Handrub, tisue, sabun);1;NULL;20000;4;0;0;0;2;1;NULL
49;Orientasi ;3;NULL;75000;4;0;0;0;3;1;NULL
50;Keselamatan Pasien;3;NULL;150000;4;0;0;0;3;1;NULL
