id_mou;institusi_mou;tgl_mulai_mou;tgl_selesai_mou;no_rsj_mou;no_institusi_mou;jurusan_mou;spek_pdd_mou;jenjang_pdd_mou;akreditasi_mou;ket_mou
1;1;2016-01-05;2019-01-04;-;-;;;;;
2;2;2014-02-13;2017-02-12;- ;-;;;;;
3;3;2018-08-20;2021-08-19;119/14858/RSJ;036/AKP/BK-A/VIII/2018;;;;;
4;4;2017-12-22;2020-12-21;119/19834/RSJ;355/PKS/AKBM/XII/2017;;;;;
5;5;2019-06-19;2022-06-18;073/10582/RSJ;B. 167/AKPER BPC/VI/2019;;;;;
6;6;2018-07-06;2021-07-05;119/11581/RSJ;PKS/008/AKPER RSD/VII/2018;;;;;
7;7;2018-11-12;2021-11-11;119/20549A/RSJ;420/526/AKPER/2018;;;;;
8;8;2015-01-02;2018-01-01;-;YK/AKTI/PKS/01/01/2015;;;;;
9;9;2019-02-06;2022-02-05;119/2418/RSJ;032/AL.A/SKS.01/II/2019;;;;;
10;10;2013-06-12;2016-06-11;-;-;;;;;
11;11;2014-07-17;2017-07-16;-;-;;;;;
12;12;2014-01-21;2017-01-20;-;-;;;;;
13;13;2014-03-28;2017-03-27;-;-;;;;;
14;14;2018-09-12;2021-09-11;119/16344/RSJ;007 KS/AKSARI/IX/2018;;;;;
15;15;2014-05-14;2017-05-13;-;-;;;;;
16;16;2011-06-13;2014-06-12;-;-;;;;;
17;17;2014-01-01;2016-12-31;-;-;;;;;
18;18;2014-10-21;2017-10-20;-;-;;;;;
19;19;2019-08-01;2022-07-31;119/12968/RSJ;"087/DIR/PKS-RSI/VIII/2019
Dan
038/PKS/DN/FUKM/VIII/2019";;;;;
20;20;2019-05-29;2022-05-28;119/1458/RSJ;"551A/UKKW/FK/D/V/2019
Dan
173/072-26/2019";;;;;
21;21;2019-09-17;2022-09-16;119/15675/RSJ;"445/1318/UHP-RS Ihsan
Dan
108/Dek/FK/IX/2019";;;;;
22;22;2015-10-29;2018-10-28;07313324/RSJ/2015;005/KS-FK UNJANI/X/2015;;;;;
23;23;2020-07-01;2023-07-01;119/10058/RSJ;"HK.03.01/X.4.2.1/14120/2020
dan 677/UN6.C/PKS/2020";;;;;
24;24;2014-11-14;2017-11-13;-;-;;;;;
25;25;2014-03-10;2017-03-09;-;-;;;;;
26;26;2018-11-19;2021-11-18;119/209634/RSJ;HK.05.01/1.6/5004/2018;;;;;
27;27;2020-01-08;2023-01-07;075/0409/RSJ/I/2020;016/POLTEKKES/I/2020;;;;;
28;28;2012-06-04;2015-06-04;-;-;;;;;
29;29;2014-12-12;2017-12-11;-;-;;;;;
30;30;2014-09-26;2017-09-25;-;-;;;;;
31;31;2019-04-08;2022-04-07;073/6519/RSJ;808/MOU.02/STIKES-AB/IV/2019;;;;;
32;32;2014-01-30;2017-01-29;-;-;;;;;
33;33;2012-09-07;2015-09-07;-;-;;;;;
34;34;2011-07-26;2014-07-25;-;-;;;;;
35;35;2012-05-03;2015-05-03;-;-;;;;;
36;36;2018-07-03;2021-07-02;073/11261/RSJ;505/D/BAHUK-STIKES/VII/2018;;;;;
37;37;2020-11-02;2023-11-02;073/0090/RSJ;672/B/STIKESCRB/I/2018;;;;;
38;38;2014-01-01;2016-12-31;-;-;;;;;
39;39;2018-07-23;2021-07-22;119/12949/RSJ;120/SDHB/PKS/TU/VII/2018;;;;;
40;40;2018-07-13;2021-07-12;073/12321/RSJ;810/STIKES-FA/MOU/VII/2018;;;;;
41;41;2018-09-29;2021-09-28;119/17531/RSJ;1138/K/STIKES.DK/IX/2018;;;;;
42;42;2019-10-29;2022-10-28;073/18015/RSJ/X/2019;270/STIKI/WK.III/X/2019;;;;;
43;43;2019-03-26;2022-03-25;075/4422/RSJ;PKS/018/STIKES/III/2019;;;;;
