1;AKADEMI PEREKEM MEDIS DAN INFORMATIKA KESEHATAN BANDUNG;APIKES ;
2;AKPER AL-MA'ARIF BATURAJA;;
3;AKPER BHAKTI KENCANA BANDUNG;;
4;AKPER BIDARA MUKTI GARUT;;
5;AKPER BUNTET PESANTREN CIREBON;;
6;AKPER DUSTIRA CIMAHI;;
7;AKPER KEBONJATI;;
8;AKPER LUWUK;;
9;AKPER PEMBINA PALEMBANG;;
10;AKPER PEMDA KOLAKA;;
11;AKPER PEMERINTAH KABUPATEN CIANJUR;;
12;AKPER PEMKAB LAHAT;;
13;AKPER RS. EFARINA PURWAKARTA;;
14;AKPER SAIFUDDIN ZUHRI INDRAMAYU;;
15;AKPER SAWERIGADING PEMDA LUWU RAYA PALOPO;;
16;AKPER SINTANG;;
17;AKPER TOLITOLI;;
18;AKPER YPDR JAKARTA;;
19;AKPER YPIB MAJALENGKA;;
20;POLITEKNIK NEGERI INDRAMAYU;;
21;POLITEKNIK NEGERI SUBANG;POLSUB;./_img/logo_institusi/21.png
22;POLITEKNIK TEDC BANDUNG;;
23;POLTEKKES BANTEN;;
24;POLTEKKES KEMENKES BANDUNG;;./_img/logo_institusi/24.png
25;POLTEKKES KEMENKES JAYAPURA;;
26;POLTEKKES KEMENKES MAKASSAR;;
27;POLTEKKES TNI AU CIUMBULEUIT BANDUNG;;
28;POLTEKKES YAPKESBI SUKABUMI;;
29;RS JIWA PROVINSI JAWA BARAT;"""RS JIWA""";./_img/logo_institusi/29.png
30;STIKES INDONESIA MAJU;;
31;STIKES AISYIYAH BANDUNG;;
32;STIKES BANI SALEH;;
33;STIKES BHAKTI PERTIWI LUWU RAYA PALOPO;;
34;STIKES BINA PUTERA BANJAR;;
35;STIKES BORNEO TARAKAN;;
36;STIKES BUDILUHUR CIMAHI;;
37;STIKES CIREBON;;
38;STIKES DEHASEN BENGKULU;;
39;STIKES DHARMA HUSADA BANDUNG;;
40;STIKES FALETEHAN;;
41;STIKES FORT DE KOCK;;
42;STIKES IMMANUEL BANDUNG;;
43;STIKES JENDERAL AHMAD YANI;;
44;STIKES KARSA HUSADA GARUT;;
45;STIKES KOTA SUKABUMI;;
46;STIKES KUNINGAN;;
47;STIKES MAHARDIKA CIREBON;;
48;STIKES MEDIKA CIKARANG / IMDS;;
49;STIKES MITRA KENCANA TASIKMALAYA;;
50;STIKES MUHAMADIYAH CIAMIS;;
51;STIKES NAN TONGGA LUBUK ALUNG;;
52;STIKES PERMATA NUSANTARA CIANJUR;;
53;STIKES PPNI JAWA BARAT;STIKES PPNI;./_img/logo_institusi/53.png
54;STIKES RAJAWALI;;
55;STIKES SANTO BORROMEUS;;
56;STIKES SEBELAS APRIL SUMEDANG;;
57;STIKES SYEDZA SAINTIKA PADANG;;
58;STIKES TANA TORAJA;;
59;STIKES YARSI BUKIT TINGGI;;
60;STIKES YARSI PONTIANAK;;
61;STIKES YPIB MAJALENGKA;;
62;UNIVERSITAS ADVENT INDONESIA BANDUNG;;
63;UNIVERSITAS BALE BANDUNG;;
64;UNIVERSITAS BHAKTI KENCANA;UBK;./_img/logo_institusi/64.png
65;UNIVERSITAS BSI BANDUNG;;
66;UNIVERSITAS GALUH CIAMIS;;
67;UNIVERSITAS ISLAM BANDUNG;UNISBA;./_img/logo_institusi/67.png
68;UNIVERSITAS JENDERAL AHMAD YANI;UNJANI;./_img/logo_institusi/68.png
69;UNIVERSITAS KOMPUTER INDONESIA;UNIKOM;./_img/logo_institusi/69.png
70;UNIVERSITAS KRISTEN KRIDA WACANA;UKRIDA;./_img/logo_institusi/70.png
71;UNIVERSITAS KRISTEN MARANATHA;UKM;./_img/logo_institusi/71.png
72;UNIVERSITAS KRISTEN SATYA WACANA SALATIGA;;
73;UNIVERSITAS MUHAMMADIYAH SUKABUMI;;
74;UNIVERSITAS MUHAMMADIYAH TASIKMALAYA;;
75;UNIVERSITAS NEGERI GORONTALO;;
76;UNIVERSITAS PADJADJARAN;UNPAD;./_img/logo_institusi/76.png
77;UNIVERSITAS PELITA HARAPAN;;
78;UNIVERSITAS PENDIDIKAN INDONESIA SETIABUDI;UPI SETIABUDI;./_img/logo_institusi/78.png
79;UNIVERSITAS PENDIDIKAN INDONESIA SUMEDANG;UPI SUMEDANG;./_img/logo_institusi/79.png
80;UNIVERSITAS RESPATI INDONESIA;;
81;UNIVERSITAS SAMRATULANGI;;
82;UNIVERSITAS SULTAN AGENG TIRTAYASA ;UNTIRTA;./_img/logo_institusi/82.png
83;POLITEKNIK KESEJAHTERAAN SOSIAL BANDUNG;POLTEKESOS;./_img/logo_institusi/83.png
84;POLITEKNIK PIKSI GANESHA BANDUNG;PIKSI GANESHA;./_img/logo_institusi/84.png
85;UNIVERSITAS PERSADA INDONESIA Y.A.I;UPI Y.A.I;./_img/logo_institusi/85.png
